id,symbol,type,entryPrice,initialSize,currentSize,stopLoss,openTime,closeTime,closePrice,pnl,status,strategy
quant-1770401189969,XAUUSD,SELL,4964.610000000001,0.01,0.01,4969.61,1770401189969,1770401478709,4969.105,-3.701418877235579,CLOSED,AI_AGENT
quant-1770398695020,XAUUSD,SELL,4957.965,0.01,0.01,4963,1770398695020,1770399031137,4963.485000000001,-4.369138959931585,CLOSED,AI_AGENT
risk-1770381238250,XAUUSD,BUY,4882.4,0.01,0.002,4913.457474999999,1770381238250,1770386926432,4913.905,19.416809641214762,CLOSED,AI_AGENT
quant-1770370441173,XAUUSD,BUY,4865.17,0.01,0.01,4856.68,1770370441173,1770371122010,4856.53,-6.767678627317791,CLOSED,AI_AGENT
quant-1770368326970,XAUUSD,BUY,4860.465,0.01,0.01,4854.54,1770368326970,1770368503898,4855.255,-4.520552487409299,CLOSED,AI_AGENT
quant-1770367544902,XAUUSD,SELL,4857.2,0.01,0.01,4865,1770367544902,1770367958996,4864.52,-5.883480543226973,CLOSED,AI_AGENT
quant-1770365796845,XAUUSD,BUY,4857.215,0.01,0.01,4848.65,1770365796845,1770365880711,4848.465,-6.838129854427492,CLOSED,AI_AGENT
quant-1770361759441,XAUUSD,BUY,4844.715,0.01,0.006,4844.715,1770361759441,1770364744937,4845.34,3.4377695191303053,CLOSED,AI_AGENT
quant-1770358389984,XAUUSD,BUY,4875.26,0.01,0.01,4868.76,1770358389984,1770358435634,4868.98,-5.104991178604924,CLOSED,AI_AGENT
quant-1770355562969,XAUUSD,BUY,4844.335,0.01,0.002,4878.085225000001,1770355562969,1770358009921,4878.655000000001,17.678144751334997,CLOSED,AI_AGENT
quant-1770353874491,XAUUSD,SELL,4812.25,0.01,0.01,4820,1770353874491,1770354185827,4819.155000000001,-5.745070780894479,CLOSED,AI_AGENT
quant-1770352603053,XAUUSD,SELL,4822.985000000001,0.01,0.006,4822.985000000001,1770352603053,1770354223642,4822.24,3.568619564772181,CLOSED,AI_AGENT
risk-1770338698767,XAUUSD,SELL,4759.505,0.01,0.006,4759.505,1770338698767,1770340089049,4759.705,17.116103505505926,CLOSED,AI_AGENT
quant-1770333723087,XAUUSD,SELL,4761.345,0.01,0.002,4679.386974999999,1770333723087,1770337211142,4678.635,24.231257760271284,CLOSED,AI_AGENT
